Scenario ID,Feature Name,Behavior,Last Modified,Created,Subsystem,System (from Subsystem)
CLIENT_FS_001,Create UnixFS Filestore,"Takes a standard file whose path is src, forms a UnixFS DAG, and writes a CARv2 file with positional mapping",Nemanja Radenkovic,"October 31, 2021",File Store,Repository
CLIENT_FS_002,CARv2 to Normal File,"Opens the CAR in the specified path as as a read-only blockstore, and fronts it with a Filestore whose positional mappings are stored inside the CAR itself.",Nemanja Radenkovic,"October 31, 2021",File Store,Repository
CLIENT_FS_003,Create a File,Create file and return file name,Nemanja Radenkovic,"October 31, 2021",File Store,Repository
CLIENT_FS_004,Generate input file,Generate input file,Nemanja Radenkovic,"October 31, 2021",File Store,Repository
CLIENT_GEN_CAR_001,Client Generate CAR,"Given a file reference and an output path, generate a CAR file for the specified file",Nikola Divic,"October 31, 2021",Common,Client
CLIENT_GET_DEAL_INFO_001,Client Get Deal Info,"Given an existing deal CID, return info about the specified deal",Nikola Divic,"October 31, 2021",Storage Deals,Client
CLIENT_GET_DEAL_UPDATES_001,Client List Deals,Returns a channel that streams information about deal updates,Nikola Divic,"October 31, 2021",Storage Deals,Client
CLIENT_HAS_LOCAL_001,Client Has Local,"Given a CID, returns true if data referenced by the CID is stored locally",Nikola Divic,"October 31, 2021",Common,Client
CLIENT_IMPORT,Client Import,Imports the file under the specified path into the filestore,Nikola Divic,"October 31, 2021",Import,Client
CLIENT_IMPORT_001,Import to UnixFS DAG using CARv2,Import a file to a Unixfs DAG using a CARv2 read/write blockstore.,Nemanja Radenkovic,"October 31, 2021",Import,Client
CLIENT_IMPORT_002,Client build UnixFS DAG ,"Builds a UnixFS DAG out of the supplied reader, and imports the DAG into the supplied service.",Nemanja Radenkovic,"October 31, 2021",Import,Client
CLIENT_IMPORT_003,Import to Node,"Imports a standard file into this node as a UnixFS payload, storing it in a CARv2 file.",Nemanja Radenkovic,"November 1, 2021",Import,Client
CLIENT_IMPORT_004,List Imports,"Lists all Imports",Nemanja Radenkovic,"November 1, 2021",Import,Client
CLIENT_IMPORT_005,Retrieve Import,Retrieves Import as UnixFS,Nemanja Radenkovic,"November 1, 2021",Import,Client
CLIENT_IMPORT_006,Open CARv2,Open the CARv2 being custodied by the import manager,Nemanja Radenkovic,"November 1, 2021",Import,Client
CLIENT_IMPORT_007,Get Root CIDs,Returns the root CIDs,Nikola Divic,"November 1, 2021",Import,Client
CLIENT_LIST_DATA_TRANSFERS_001,Client List Data Transfers,Returns the status of all ongoing transfers of data,Nikola Divic,"November 1, 2021",Retrieval,Client
CLIENT_LIST_DEALS,Client List Deals,Returns information about the deals made by the local node,Nikola Divic,"November 1, 2021",Storage Deals,Client
CLIENT_LIST_DEALS_001,Client List Deals,Return information about all deals made by the local client,Nikola Divic,"October 31, 2021",Storage Deals,Client
CLIENT_LIST_RETRIEVALS_001,Client List Retrievals,Return information about all retrievals made by the local client,Nikola Divic,"October 31, 2021",Retrieval,Client
CLIENT_MINER_QUERY_OFFER_001,Client Miner Query Offer,"Given a miner address, root & piece CIDs, returns the query offer for the specified miner and CIDs",Nikola Divic,"October 31, 2021",Retrieval,Client
CLIENT_QUERY_ASK_001,Client Query Ask,"Given an address and a peer ID, returns a signed storage ask from the specified miner",Nikola Divic,"November 1, 2021",Storage Deals,Client
CLIENT_QUERY_ASK_001,Client Query Ask,"Given a miner address, return a signed storage ask from the specified miner",Nikola Divic,"October 31, 2021",Retrieval,Client
CLIENT_REMOVE_IMPORT_001,Client Remove Import,"Given an existing import ID, deletes the imported file",Nikola Divic,"October 31, 2021",Import,Client
CLIENT_RETRIEVE_001,Client Retrieve,"initiates the retrieval of a file, as specified in the order",Nikola Divic,"November 1, 2021",Retrieval,Client
CLIENT_RETRIEVE_001,Client Retrieve,"Given an existing retrieval order and a file reference, initiate the retrieval of the file specified in the order",Nikola Divic,"October 31, 2021",Retrieval,Client
CLIENT_START_DEAL_001,Client Start Deal,"Given an imported data CID, existing miner address, price & duration, propose a deal to the miner",Nikola Divic,"October 31, 2021",Storage Deals,Client
FIL_PARSE_001,FIL Value Parse,Succeeds if FIL value is validly parsed	,Nikola Divic,"October 25, 2021",Common,Blockchain
GAS_ESTIMATE_CAP_001,Gas Estimate Cap,"Given a Message and a known Tipset key, return an estimated gas fee cap for the specified message",Nikola Divic,"October 31, 2021",Common,Virtual Machine
GAS_ESTIMATE_LIMIT_001,Gas Estimate Limit,"Given a Message and a known Tipset key, return the estimated gas limit for the specified message",Nikola Divic,"October 31, 2021",Common,Virtual Machine
GAS_ESTIMATE_LIMIT_002,Gas Estimate Limit,Fails if given message fails to execute,Nikola Divic,"October 31, 2021",Common,Virtual Machine
GAS_ESTIMATE_PREMIUM_001,Gas Estimate Premium,"Given a number of epochs nblocksincl, estimate what gas price should be used for a message to have high likelihood of inclusion in specified number of epochs",Nikola Divic,"October 31, 2021",Common,Virtual Machine
MINER_CREATE_BLOCK_001,Miner Create Block,"Given a block template, create a new block and return a full block message signed by the local (miner) node",Nikola Divic,"November 2, 2021",Mining,Miner
MINER_GET_BASE_INFO_001,Miner Get Base Info,"Given a miner address return the miner power, network power, sectors, worker key, sector size, beacon entries and if the miner is eligible for mining ",Nikola Divic,"November 2, 2021",Common,Miner
MPOOL_BATCH_PUSH_001,Message Pool Batch Push,"Given a list of signed messages from a trusted source, perform a batch of mpool pushes (see ""Message Pool Push"")",Nikola Divic,"October 31, 2021",Message Pool,Blockchain
MPOOL_BATCH_PUSH_UNTRUSTED_001,Message Pool Batch Push Untrusted,"Given a list of signed messages from an untrusted source, perform a batch of mpool pushes (see ""Message Pool Push Untrusted"")",Nikola Divic,"October 31, 2021",Message Pool,Blockchain
MPOOL_CHECK_MESSAGES_001,Message Pool Check Messages,"Given a list of messages, perform logical checks: check the actor balance, serialization, message size, syntax validity, gas limit, min base fee, base fee, nonce, required funds and balance and return the status of each check ",Nikola Divic,"October 31, 2021",Message Pool,Blockchain
MPOOL_CHECK_PENDING_MESSAGES_001,Message Pool Check Pending Messages,"Given an address, perform logical checks (see ""Message Pool Check Messages"") for all pending messages from the specified address",Nikola Divic,"October 31, 2021",Message Pool,Blockchain
MPOOL_CLEAR_001,Message Pool Clear,Clear all pending messages from the mempool,Nikola Divic,"November 1, 2021",Message Pool,Blockchain
MPOOL_GET_NONCE_001,Message Pool Get Nonce,"Given an sender address, returns the next nonce for the specified sender",Nikola Divic,"November 1, 2021",Message Pool,Blockchain
MPOOL_PENDING_001,Message Pool Pending,"Given a known tipset key, return all pending mempool messages",Nikola Divic,"October 31, 2021",Message Pool,Blockchain
MPOOL_PUSH_001,Message Pool Push,"Given a signed Message, add it to the mempool and return its CID. Don't perform extra strict checks",Nikola Divic,"October 31, 2021",Message Pool,Blockchain
MPOOL_PUSH_MESSAGE_001,Message Pool Push Message,"Given an unsigned Message, atomically asign a nonce, sign it and push it to the mempool",Nikola Divic,"October 31, 2021",Message Pool,Blockchain
MPOOL_PUSH_UNTRUSTED_001,Message Pool Push Untrusted,"Given a signed Message from an untrusted source, push it to the mempool and return its CID. Perform extra strict checks such as: no nonce gaps, at most 10 pending messages for the actor",Nikola Divic,"October 31, 2021",Message Pool,Blockchain
MPOOL_SELECT_001,Message Pool Select,"Given a known Tipset key and a ticket quality, return the ""optimal"" list of messages for inclusion in the next block",Nikola Divic,"October 31, 2021",Message Pool,Blockchain
MSG_CALL_001,Message Call,Succeeds if message struct does not differ in method in an actor's function table,Nikola Divic,"November 1, 2021",Runtime,Virtual Machine
MSG_CALL_002,Message Call,Succeeds if a regular (unsigned) message performs a full round trip (marshal -> unmarshal) ,Nikola Divic,"November 1, 2021",Runtime,Virtual Machine
MSG_CALL_003,Message Call,Succeeds if a signed message performs a full round trip (marshal -> unmarshal),Nikola Divic,"November 1, 2021",Runtime,Virtual Machine
NODE_CONFIG_001,Read Empty File,Config from empty file should be the same as default,Nemanja Radenkovic,"November 1, 2021",Node,Repository
NODE_CONFIG_002,Read Non-existent File,Config from not exisiting file should be the same as default,Nemanja Radenkovic,"November 1, 2021",Node,Repository
NODE_CONFIG_003,Default Full Node Config,Write config based on default full node,Nemanja Radenkovic,"November 1, 2021",Node,Repository
NODE_CONFIG_004,Default Miner Node Config,Write config based on default miner node,Nemanja Radenkovic,"November 1, 2021",Node,Repository
NODE_SHUTDOWN_001,Shutdown Handler,Create shutdown handler,Nemanja Radenkovic,"November 1, 2021",Node,Repository
NODE_SHUTDOWN_002,Shutdown Monitor,"Manages shutdown requests, by watching signals and invoking the supplied handlers in order.",Nemanja Radenkovic,"November 1, 2021",Node,Repository
PAYCH_ALLOC_001,Payment Channel Allocate Lane,Succeeds if channel address and lane number are valid,Nikola Divic,"October 25, 2021",Payment Channels,Token
PAYCH_BEST_001,Payment Channel Best Spendable,Returns the best spendable voucher if channel address is valid,Nikola Divic,"October 25, 2021",Payment Channels,Token
PAYCH_COLLECT_001,Payment Channel Collect,"Transfers the ToPay amount to the recipient and the remaining change to the sender, if it's called either by the sender or recipient",Nikola Divic,"October 25, 2021",Payment Channels,Token
PAYCH_COLLECT_002,Payment Channel Collect,Fails if not signed by both parties,Nikola Divic,"October 25, 2021",Payment Channels,Token
PAYCH_CREATE_001,Payment Channel Create,"Succeeds if sender, recipient and amount are valid",Nikola Divic,"October 25, 2021",Payment Channels,Token
PAYCH_CREATE_002,Payment Channel Create,Supports both ID and non-ID sender and recipient addresses,Nikola Divic,"October 25, 2021",Payment Channels,Token
PAYCH_CREATE_003,Payment Channel Create,Fails if sender or recipient addresses are not resolvable to an ID address,Nikola Divic,"October 25, 2021",Payment Channels,Token
PAYCH_LIST_001,Payment Channel List Vouchers,Returns a list of vouchers if channel address is valid,Nikola Divic,"October 25, 2021",Payment Channels,Token
PAYCH_SETTLE_001,Payment Channel Settle,Succeeds if called by either the sender or recipient,Nikola Divic,"October 25, 2021",Payment Channels,Token
PAYCH_SETTLE_002,Payment Channel Settle,"Fails if called twice",Nikola Divic,"October 25, 2021",Payment Channels,Token
PAYCH_STATUS_001,Payment Channel Status,"Returns  ""Channel does not exist"" if sender and recipient addresses don't have an open channel",Nikola Divic,"October 25, 2021",Payment Channels,Token
PAYCH_STATUS_002,Payment Channel Status,"Returns channel status, balance and a list of vouchers, if the channel was created",Nikola Divic,"October 25, 2021",Payment Channels,Token
REPO_FS_001,Filesystem Based Repo,Creates a repository instance based on a path on file system,Nemanja Radenkovic,"October 31, 2021",Common,Repository
REPO_FS_002,Filesystem Repo Initialization,Initializes Filesystem based repository,Nemanja Radenkovic,"October 31, 2021",Common,Repository
REPO_GAS_001,Median Gas,Finds 55th percentile instead of median to put negative pressure on gas price,Nemanja Radenkovic,"October 31, 2021",Node,Repository
REPO_KEYSTR_001,Create KeyStore Object,Should be able to create KeyStore object,Nemanja Radenkovic,"October 31, 2021",Key Store,Repository
REPO_KEYSTR_002,List Keys,Should be able to list keys from KeyStore,Nemanja Radenkovic,"October 31, 2021",Key Store,Repository
REPO_KEYSTR_003,Insert Key,Inserts key/value pair into KeyStore,Nemanja Radenkovic,"October 31, 2021",Key Store,Repository
REPO_KEYSTR_004,Key Conflict,Inserting Key that already exists should error out,Nemanja Radenkovic,"October 31, 2021",Key Store,Repository
REPO_KEYSTR_006,Delete Key,Deletes the record from KeyStore given the Key as argument,Nemanja Radenkovic,"October 31, 2021",Key Store,Repository
REPO_MEM_001,Memory Based Repo, Creates new memory based repository with provided options,Nemanja Radenkovic,"October 31, 2021",Common,Repository
REPO_MUT_001,Node Lock,Node should be able to lock once,Nemanja Radenkovic,"October 31, 2021",Node,Repository
REPO_MUT_002,Node Already Locked,Already locked nodes should return errors,Nemanja Radenkovic,"October 31, 2021",Node,Repository
REPO_MUT_003,Node Unlock,"Node should be able to unlock",Nemanja Radenkovic,"October 31, 2021",Node,Repository
REPO_NET_001,Api Endpoint,Api endpoint should return multiaddress for communication with Lotus API,Nemanja Radenkovic,"October 31, 2021",Network,Repository
REPO_NET_002,Set Api Endpoint,Set the endpoint of the current API so it can be read by API clients,Nemanja Radenkovic,"October 31, 2021",Network,Repository
REPO_NET_003,Api Endpoint with closed repo,"When node closes, multiaddress should be null",Nemanja Radenkovic,"October 31, 2021",Network,Repository
SERIALIZE_MSG_001,Message Serialize,Succeeds if a message's byte serialization does not fail,Nikola Divic,"November 1, 2021",Runtime,Virtual Machine
SIG_RTR_001,Signature Round Trip,Suceeds if a successful round trip is peformed (CBOR marshal -> unmarshal),Nikola Divic,"November 1, 2021",Common,Blockchain
SIGNED_MSG_001,Message Serialization,Succeeds if JSON marshal and unmarshal succeeds,Nikola Divic,"November 1, 2021",Runtime,Virtual Machine
STATE_LIST_MINERS_001,State list miner,Returns the addresses of every miner that has claimed power in the power actor,Nikola Divic,"November 1, 2021",State Tree,Blockchain
SYNC_CHECK_BAD_001,Sync Check Bad,"Given a known block CID, return if it was marked as bad and the reason",Nikola Divic,"October 31, 2021",Syncer,Blockchain
SYNC_CHECKPOINT_001,Sync Checkpoint,"Given a known Tipset key, mark those blocks as checkpointed, meaning that it won't ever fork away from it",Nikola Divic,"October 31, 2021",Syncer,Blockchain
SYNC_INCOMING_BLOCKS_001,Sync Incoming Blocks,"Returns a channel streaming incoming, potentially not yet synced block headers",Nikola Divic,"October 31, 2021",Syncer,Blockchain
SYNC_MARK_BAD_001,Sync Mark Bad,"Given a known block CID, mark it as bad, meaning that it won't ever be synced",Nikola Divic,"October 31, 2021",Syncer,Blockchain
SYNC_STATE_001,Sync State,Returns a list of sync states for each sync worker of the local node,Nikola Divic,"October 31, 2021",Syncer,Blockchain
SYNC_SUBMIT_BLOCK_001,Sync Submit Block,"Given a newly created block, submit it to the network through the local node",Nikola Divic,"October 31, 2021",Syncer,Blockchain
SYNC_UNMARK_ALL_BAD_001,Sync Unmark All Bad,"Unmarks all blocks marked as bad, making them possible to sync",Nikola Divic,"October 31, 2021",Syncer,Blockchain
SYNC_UNMARK_BAD_001,Sync Unmark Bad,"Given a CID of a block that's marked as bad, unmark it, making it possible to be validated and synced again",Nikola Divic,"October 31, 2021",Syncer,Blockchain
SYNC_VALIDATE_TIPSET_001,Sync Validate Tipset,"Given a known Tipset key, return if the specified tipset is valid or not",Nikola Divic,"October 31, 2021",Syncer,Blockchain
TIPSET_KEY_001,Tipset Key Create,Succeeds if a tipset key is valid and generated in a proper format,Nikola Divic,"November 1, 2021",Common,Blockchain
VOUCH_CREATE_001,Voucher Create,"Succeeds if the channel address, nonce and amount are valid",Nikola Divic,"October 25, 2021",Payment Channels,Token
VOUCH_CREATE_002,Voucher Create,"Fails if voucher address does not match the channel address",Nikola Divic,"October 25, 2021",Payment Channels,Token
VOUCH_CREATE_003,Voucher Create,Fails if creator balance < voucher amount,Nikola Divic,"October 25, 2021",Payment Channels,Token
VOUCH_CREATE_004,Voucher Create,Fails if sum of voucher amounts > channel balance,Nikola Divic,"October 25, 2021",Payment Channels,Token
VOUCH_CREATE_005,Voucher Create,Fails if voucher signature is invalid,Nikola Divic,"October 25, 2021",Payment Channels,Token
VOUCH_CREATE_006,Voucher Create,Fails when signed by channel recipient instead of sender,Nikola Divic,"October 25, 2021",Payment Channels,Token
VOUCH_CREATE_007,Voucher Create,Fails when nonce too low,Nikola Divic,"October 25, 2021",Payment Channels,Token
VOUCH_REDEEM_001,Voucher Redeem,"Succeeds, given a valid channel address, voucher and lane",Nikola Divic,"October 25, 2021",Payment Channels,Token
VOUCH_REDEEM_002,Voucher Redeem,Fails on nonce reuse,Nikola Divic,"October 25, 2021",Payment Channels,Token
VOUCH_REDEEM_004,Voucher Redeem,Fails if voucher balance < 0,Nikola Divic,"October 25, 2021",Payment Channels,Token
VOUCH_REDEEM_005,Voucher Redeem,Fails if >12hrs since the channel was settled,Nikola Divic,"October 25, 2021",Payment Channels,Token
VOUCH_REDEEM_006,Voucher Redeem,Succeds if <12hrs since the channel was settled,Nikola Divic,"October 25, 2021",Payment Channels,Token
VOUCH_REDEEM_007,Voucher Redeem,Fails if current height < Voucher.TimeLock,Nikola Divic,"October 25, 2021",Payment Channels,Token
VOUCH_REDEEM_008,Voucher Redeem,"Fails if voucher signature is invalid",Nikola Divic,"October 25, 2021",Payment Channels,Token
VOUCH_REDEEM_009,Voucher Redeem,Fails if current height >= Voucher.TimeLockMax,Nikola Divic,"October 25, 2021",Payment Channels,Token
WALLET_BALANCE_001,Wallet Balance,"Given a known address, returns the balance of the specified address at the current head of the chain",Nikola Divic,"October 31, 2021",Wallet,Token
WALLET_DEFAULT_ADDRESS_001,Wallet Default Address,Returns the address marked as default in the wallet,Nikola Divic,"October 31, 2021",Wallet,Token
WALLET_DELETE_001,Wallet Delete,"Given a (local) address, delete the specified address from the wallet",Nikola Divic,"October 31, 2021",Wallet,Token
WALLET_EXPORT_001,Wallet Export,"Given a (local) address, return the private key of the specified address",Nikola Divic,"October 31, 2021",Wallet,Token
WALLET_HAS_001,Wallet Has,"Given an address, return true if the specified address is in the wallet",Nikola Divic,"October 31, 2021",Wallet,Token
WALLET_IMPORT_001,Wallet Import,"Given a private key, import it to the wallet and return the associated address",Nikola Divic,"October 31, 2021",Wallet,Token
WALLET_LIST_001,Wallet List,Return a list of all addresses in the wallet,Nikola Divic,"October 31, 2021",Wallet,Token
WALLET_NEW_001,Wallet New,"Creates and returns a new address with the given sigType, one of: bls, secp256k1, secp256k1-ledger",Nikola Divic,"October 31, 2021",Wallet,Token
WALLET_SET_DEFAULT_001,Wallet Set Default,"Given a (local) address, mark it as the default",Nikola Divic,"October 31, 2021",Wallet,Token
WALLET_SIGN_001,Wallet Sign,"Given an (local) address and an array of bytes, return the signature of the specified bytes",Nikola Divic,"October 31, 2021",Wallet,Token
WALLET_SIGN_MESSAGE_001,Wallet Sign Message,"Given a (local) address and an unsigned message, sign and return a signed message",Nikola Divic,"October 31, 2021",Wallet,Token
WALLET_VALIDATE_ADDRESS_001,Wallet Validate Address,"Given a string, return the address if it can be decoded",Nikola Divic,"October 31, 2021",Wallet,Token
WALLET_VERIFY_001,Wallet Verify,"Given (any) address, a signature and some bytes, return true if the signature is valid for the specified address and input bytes",Nikola Divic,"October 31, 2021",Wallet,Token
CLIENT_DATA_TRANSFER_UPDATES_001,Data Transfer Updates,Fetch data transfer channels that were updated,Nemanja Radenkovic,"November 1, 2021",Retrieval,Client
CLIENT_RESTART_DATA_TRANSFER_001,Restart Data Transfer,Attempt to restart a data transfer with the given transfer ID and other peer,Nemanja Radenkovic,"November 1, 2021",Data Transfer,Client
MINER_INIT_001,Miner Initialization,"Given miner and worker keys, sector size, initialize the miner repository on the local file system",Nikola Divic,"November 1, 2021",Common,Miner
CLIENT_RESTART_DATA_TRANSFER_002,Restart Data Transfer Self Peer,Attemp to restart a data transfer with the given transfer ID and other peer and set yourself as initiator peer for data transfer,Nemanja Radenkovic,"November 1, 2021",Data Transfer,Client
CLIENT_CANCEL_DATA_TRANSFER_001,Cancel Data Transfer,Cancels a data transfer with the given transfer ID and other peer,Nemanja Radenkovic,"November 1, 2021",Data Transfer,Client
CLIENT_CANCEL_DATA_TRANSFER_002,Cancel Data Transfer Self Peer,Cancels a data transfer with the given transfer ID and other peer and set yourself as initiator peer for data transfer,Nemanja Radenkovic,"November 1, 2021",Data Transfer,Client
MINER_INIT_002,Miner Initialization,Fails if it can't connect to the full node API,Nikola Divic,"November 1, 2021",Common,Miner
MINER_INIT_003,Miner Initialization,Fails if the full node API doesn't support API v1,Nikola Divic,"November 1, 2021",Common,Miner
MINER_INIT_004,Miner Initialization,Fails if the miner repo was already initialized,Nikola Divic,"November 1, 2021",Common,Miner
CLIENT_RETRIEVE_INSUFFICIENT_FUNDS_001,Data Transfer Restart on Insufficient funds,Attempts to restart stalled retrievals on a given payment channel,Nemanja Radenkovic,"November 1, 2021",Retrieval,Client
